製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,12,,,,,
計測開始時刻 ,00/00/00 00:08 ,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
394,-0.1495,0.7519,0.0964,-1.0732,,0.1495
395,-0.031,0.7647,0.0835,-1.086,,0.031
396,0.0402,0.7519,0.0835,-1.086,,0.0402
397,0.0404,0.7133,0.0964,-1.0732,,0.0404
398,0.0144,0.7005,0.0964,-1.086,,0.0144
399,0.0525,0.7005,0.0964,-1.086,,0.0525
400,0.0654,0.7005,0.0964,-1.086,,0.0654
401,0.0243,0.7005,0.1092,-1.086,,0.0243
402,-0.0461,0.7005,0.0964,-1.0732,,0.0461
403,-0.065,0.7005,0.0964,-1.0989,,0.065
404,-0.0094,0.6619,0.1092,-1.1118,,0.0094
405,0.075,0.6619,0.1092,-1.086,,0.075
406,0.0843,0.6748,0.1221,-1.0732,,0.0843
407,0.065,0.6748,0.1221,-1.0989,,0.065
408,0.0292,0.6876,0.1221,-1.0989,,0.0292
409,0.0274,0.6619,0.1221,-1.1118,,0.0274
410,0.0582,0.6748,0.1092,-1.0732,,0.0582
411,0.0667,0.6619,0.1221,-1.086,,0.0667
412,0.0675,0.6619,0.1221,-1.0989,,0.0675
413,0.069,0.6619,0.135,-1.086,,0.069
414,0.1416,0.6619,0.135,-1.0989,,0.1416
415,0.1291,0.6748,0.135,-1.0989,,0.1291
416,0.1258,0.6876,0.135,-1.086,,0.1258
417,0.0587,0.7005,0.135,-1.1118,,0.0587
418,-0.0131,0.739,0.135,-1.086,,0.0131
419,-0.0856,0.739,0.135,-1.1118,,0.0856
420,-0.1562,0.7262,0.1607,-1.0989,,0.1562
421,-0.2052,0.7519,0.1478,-1.1118,,0.2052
422,-0.2599,0.7519,0.1607,-1.1246,,0.2599
423,-0.2235,0.7647,0.1607,-1.0989,,0.2235
424,-0.1958,0.7904,0.1607,-1.1246,,0.1958
425,-0.1345,0.7904,0.1478,-1.1118,,0.1345
